Nenê;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;
Igor Julião;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Willian;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;Fluminense;
Ravanelli;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;
Diego Aguirre;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Elton;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;
Fernando Medeiros;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;Santos;
Guilherme Batata;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Outros;Outros;
Agenor;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;
Rafael Marques;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;
Vagner Love;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;
Zé Eduardo;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;
Yuri;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;
Samir ;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;
Thiago Lopes;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;
Tite;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;Corinthians;
Emerson Conceição;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;
Rodrigo Caio;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;Outros;Outros;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;São Paulo;
Nikão;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;
Marion;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;
Oswaldo de Oliveira;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Outros;Outros;Outros;
Samuel ;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;
Marcelo Oliveira;Cruzeiro;Cruzeiro;Cruzeiro;Outros;Outros;Outros;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;
Paulo Henrique;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;
Luiz Felipe Scolari;Grêmio;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Jean Deretti;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;Figueirense;
Wanderson;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;Chapecoense;
Yuri;Chapecoense;Chapecoense;Chapecoense;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Bady;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Atlético-PR;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;
Emerson;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;
Wilker;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;
Nixon;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;Flamengo;
Júnior Lopes;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Juan;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;Internacional;
Mário Sérgio;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;
Joelinton;Sport;Sport;Sport;Sport;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Odair Hellmann;Internacional;Internacional;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Rodrigo Lobão;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Leandro Donizete;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;
Renato Cajá;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Ponte Preta;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Jesiel;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;Atlético-MG;
Clebinho;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;Palmeiras;
Jubal;Santos;Santos;Santos;Santos;Santos;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;
Hélio dos Anjos;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Goiás;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Bruno Viana;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;
Thiago Carvalho;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;Outros;
Juninho;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;Coritiba;
Claudinei;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;Avaí;
Dankler;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;
Bruno Grassi;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;Grêmio;
Matheus;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Joinville;Outros;Outros;
Hernane;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;Sport;
Mena;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;
Luiz Fernando;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;Cruzeiro;
Jomar;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;
